127.0.0.1 - - [11/Dec/2024:10:25:50 +0300] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:25:51 +0300] "GET /vms/main HTTP/1.1" 200 1714
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:25:51 +0300] "GET /vms/styles/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:25:51 +0300] "GET /vms/styles/hf.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:25:52 +0300] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:30:06 +0300] "POST /vms/ValidateUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:30:06 +0300] "GET /vms/vms_officer_home HTTP/1.1" 200 3659
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:30:06 +0300] "GET /vms/styles/vm.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:30:06 +0300] "GET /vms/upload_files/birth.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:30:06 +0300] "GET /vms/upload_files/marriage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:30:07 +0300] "GET /vms/upload_files/death.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:30:07 +0300] "GET /vms/upload_files/divorce.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:30:07 +0300] "GET /vms/upload_files/certificate.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:30:29 +0300] "GET /vms/generate_birth_certificate HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:30:29 +0300] "GET /vms/styles/certificate_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:30:35 +0300] "POST /vms/generate_birth_certificate HTTP/1.1" 200 3393
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:30:35 +0300] "GET /vms/upload_files/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:30:35 +0300] "GET /vms/upload_files/89_Screenshot%20(1).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2024:10:30:35 +0300] "GET /vms/images/seal.png HTTP/1.1" 404 1100
